Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,tmp119
-10.496134075946593,-10.496245471999998,-10.496151779000002,-10.496189461,-10.496134784999999,-10.496524282000001,-10.496158042000001,-10.496204063,22.1875
-9.443502496999225,-9.4436058149,-9.443519591200001,-9.4435540066,-9.443504699199998,-9.4438556124,-9.4435251523,-9.4435669176,22.1875
-8.390870918051856,-8.390964396800001,-8.390885736600001,-8.3909175976,-8.3908727832,-8.391185229700001,-8.3908922416,-8.390929050799999,22.1797
-7.338239339104487,-7.3383234097,-7.338252733900001,-7.338280986,-7.3382413759,-7.3385157863,-7.338257969299999,-7.338291046799999,22.1563
-6.285607760157119,-6.2856833901,-6.2856200943000005,-6.2856449337,-6.2856110133000005,-6.2858475834,-6.285625343400001,-6.285654732099999,22.1953
-5.232976181209751,-5.2330418736999995,-5.232986256,-5.2330080584,-5.2329790765,-5.2331771266,-5.2329914455,-5.233016205499999,22.1641
-4.180344602262382,-4.180401231299999,-4.1803539808,-4.1803729211,-4.1803488877,-4.1805084032,-4.180358398199999,-4.180379474,22.1641
-3.127713023315014,-3.1277597309,-3.1277207864,-3.1277360651,-3.1277173404,-3.1278385425,-3.127724875,-3.1277417697,22.1797
-2.0750814443676457,-2.0751183172,-2.0750872745,-2.0750995273000004,-2.0750858665,-2.0751688708000002,-2.0750907758999997,-2.0751037880000003,22.1641
-1.0224498654202776,-1.0224781761,-1.0224549596,-1.0224638924999998,-1.0224552368999997,-1.0225003611,-1.022458241,-1.0224669548,22.2031
0.030181713527090426,0.030165105490000003,0.030180504975,0.03017382056,0.030177429966999993,0.030170783618000005,0.030177085879999996,0.030172156389,22.1875
1.0828132924744587,1.0828060238,1.0828135706,1.0828099334999999,1.0828081865,1.0828403722,1.0828103271,1.0828094053,22.1953
2.1354448714218286,2.1354473538,2.1354463537,2.1354459679,2.1354393978,2.1355100467,2.1354440972,2.1354468874,22.2031
3.1880764503691967,3.1880891122,3.1880799037,3.1880824969,3.1880707386,3.1881796736,3.1880782388,3.1880845034,22.1484
4.240708029316565,4.2407295216,4.2407119008,4.2407181242,4.2407004212,4.2408482806,4.2407111877,4.2407212733,22.2188
5.293339608263933,5.2933713855,5.2933464491,5.2933556625,5.2933323388,5.2935186793,5.293345266399999,5.2933595431,22.2031
6.345971187211301,6.3460118624,6.3459782558999995,6.3459906636,6.345962296100001,6.3461873345,6.345978322500001,6.3459962468999995,22.2266
7.398602766158671,7.3986529537,7.3986114664,7.398626964700001,7.3985933228,7.398856481099999,7.398611716499999,7.398633716199999,22.2266
8.451234345106037,8.4512937854,8.4512440402,8.451263145599999,8.4512233964,8.451525521599999,8.4512453426,8.4512705463,22.2266
9.503865924053407,9.5039352766,9.503877601900001,9.5038994481,9.5038542711,9.504195843200002,9.5038792243,9.5039084839,22.1797
