"Time","CAL? 72 3458A","CAL? 175 3458A"
1648077894000,0.99158988,38.4516334
1648081498000,0.99158996,38.0704804
1648085103000,0.99158994,37.9223638
1648088708000,0.99158992,37.6610417
1648092313000,0.99158997,37.4151857
1648095918000,0.99159005,37.9882046
1648099523000,0.99159,38.2765968
1648103127000,0.99159,38.2176166
1648106732000,0.99159001,37.7318572
1648110337000,0.99159011,38.1719998
1648113941000,0.99159,38.7558675
1648117543000,0.99159,38.9617561
1648121145000,0.99159,39.2636527
1648124747000,0.99159007,39.4958622
1648128352000,0.9915901,39.7350886
1648131957000,0.99159009,40.0050842
1648135562000,0.99159009,40.2491353
1648139167000,0.99159008,40.2628582
1648142772000,0.99159008,40.2372107
1648146377000,0.99159007,39.5685623
1648149982000,0.99159011,39.8046227
1648153587000,0.99159009,39.838334
1648157192000,0.99159011,undefined
1648157193000,undefined,39.7437629
1648160797000,0.99159015,undefined
1648160798000,undefined,39.3979768
1648164402000,0.99159016,undefined
1648164403000,undefined,39.1007572
1648168007000,0.99159019,undefined
1648168008000,undefined,38.6025569
1648171612000,0.99159011,undefined
1648171613000,undefined,38.5220843
1648175218000,0.99159023,38.847591
1648178823000,0.99159023,38.8609404
1648182428000,0.99159027,38.8403472
1648186033000,0.99159022,38.7347688
1648189638000,0.99159025,38.6896648
1648193243000,0.99159031,38.5753361
1648196848000,0.99159025,38.6375545
1648200453000,0.99159031,38.9727876
1648204058000,0.99159034,39.2880311
1648207663000,0.99159037,39.6062839
1648211268000,0.99159029,39.766172
1648214873000,0.99159026,39.9424933
1648218478000,0.99159031,40.2579612
1648222083000,0.99159027,39.6448185
1648225688000,0.99159025,39.5166115
1648229293000,0.99159022,39.8705456
1648232898000,0.99159032,39.9578741
1648236504000,0.99159038,39.4883343
1648240109000,0.99159031,39.4319167
1648243715000,0.99159035,39.5373537
1648247320000,0.99159034,39.4500902
1648250925000,0.99159045,39.3145078
1648254530000,0.99159032,38.9952593
1648258135000,0.99159036,undefined
1648258136000,undefined,38.6733061
1648261740000,0.99159033,undefined
1648261741000,undefined,38.384152
1648265345000,0.99159043,undefined
1648265346000,undefined,38.1228443
1648268950000,0.99159038,undefined
1648268951000,undefined,37.914162
1648272555000,0.99159038,undefined
1648272556000,undefined,37.7223007
1648276160000,0.99159038,undefined
1648276161000,undefined,37.5968081
1648279766000,0.99159045,38.0338433
1648283371000,0.99159048,38.7368831
1648286976000,0.9915905,39.0428463
1648290581000,0.99159041,39.3647322
1648294186000,0.99159042,39.6916589
1648297791000,0.99159046,undefined
1648297792000,undefined,39.9708615
1648301397000,0.99159045,40.1535881
1648305002000,0.99159041,40.1093942
1648308607000,0.99159044,39.8358587
1648312212000,0.99159043,38.9747489
1648315817000,0.99159046,39.4157892
1648319422000,0.99159047,39.8017002
1648323027000,0.99159044,39.6596128
1648326633000,0.99159044,39.2678208
1648330238000,0.99159042,39.2790527
1648333843000,0.99159044,39.2026561
1648337448000,0.99159044,39.0433733
1648341053000,0.99159053,38.9362855
1648344658000,0.99159049,38.7067923
1648348263000,0.99159049,38.4586009
1648351868000,0.9915905,38.2167352
1648355473000,0.99159048,38.0134941
1648359078000,0.99159059,37.807757
1648362683000,0.99159055,undefined
1648362684000,undefined,37.6281059
1648366288000,0.99159062,undefined
1648366289000,undefined,38.0618307
1648369893000,0.99159058,undefined
1648369894000,undefined,38.5098802
1648373499000,0.99159057,undefined
