Time,CAL? 175,CAL? 72
2021-12-16,34.75,0.991583521
2021-12-17,34.73,0.991583479
2021-12-18,34.5,0.991583532
2021-12-19,34.66,0.991583686
2021-12-20,34.37,0.991583808
2021-12-21,33.82,0.991583893
2021-12-22,34.03,0.991584047
2022-03-24,39.03,0.991590044
2022-03-25,39.23,0.991590259
2022-03-26,38.93,0.991590415
2022-03-27,38.7,0.991590586
2022-03-28,38.6,0.991590663
2022-03-29,37.96,0.991590744
2022-03-31,38.43,0.991590954
2022-04-01,38.79,0.991591101
2022-04-02,38.21,0.991591212
2022-04-03,37.87,0.991591304
2022-04-04,38.82,0.9915914
2022-04-05,38.53,0.991591614
2022-04-06,38.89,0.991591851
2022-04-07,39.29,0.991591957
2022-04-08,38.4,0.991592365
2022-04-09,39.81,0.991592446
2022-04-10,39.43,0.991592577
2022-04-11,39.72,0.99159269
2022-04-12,39.52,0.991592785
2022-04-13,39.33,0.991593011
2022-04-14,40.29,0.991593541
2022-04-15,39.5,0.991593699
2022-04-16,38.37,0.991593675
2022-04-21,39.36,0.99159388
2022-04-22,39.35,0.991594118
2022-04-24,39.73,0.99159404
2022-04-26,39.55,0.991594103
2022-04-27,39.75,0.991594202
2022-04-28,39.24,0.991594305
2022-04-30,39.84,0.991594496
2022-05-01,39.69,0.991594609
2022-05-02,40.09,0.991594621
2022-05-03,40.86,0.99159475
2022-05-04,40.43,0.991594758
2022-05-05,40.65,0.99159485
2022-05-06,35.43,0.99159257
2022-05-07,35.89,0.991592764
2022-05-08,35.61,0.991592846
2022-05-09,36.1,0.991593004
2022-05-10,37.06,0.991593263
2022-05-11,37.23,0.991593395
2022-05-12,37.75,0.991593403
2022-05-13,35.61,0.991593347
2022-05-17,40.07,0.991594161
2022-05-18,39.7,0.991594196
2022-05-20,36.55,0.991595161
2022-05-21,33.88,0.991595584
2022-05-22,33.26,0.991595641
2022-05-23,33.92,0.991595611
2022-05-24,34.26,0.991595728
2022-05-25,33.41,0.991595798
2022-05-26,33.32,0.991595845
2022-05-27,32.93,0.991595936
2022-05-28,32.19,0.991595895
2022-05-29,31.45,0.991595851
2022-05-30,31.37,0.991595896
2022-05-31,31.45,0.991595865
2022-06-01,31.72,0.991595842
2022-06-07,33.53,0.991598477
2022-06-08,33.32,0.991598547
2022-06-09,33.55,0.991598612
2022-06-10,33.8,0.991598565
2022-06-12,34.65,0.991598746
2022-06-13,32.77,0.991598659
2022-06-14,33.21,0.991598703
2022-06-15,33.33,0.991598713
2022-06-16,33.87,0.991598813
2022-06-17,33.82,0.991598849
2022-06-18,38.15,0.99159907
2022-06-19,34.82,0.991598902
2022-06-20,33.71,0.991598896
2022-06-21,32.96,0.991598919
2022-06-22,34.64,0.991599068
2022-06-23,34.91,0.991599126
2022-06-24,36.42,0.991599088
2022-06-25,35.37,0.991598962
2022-06-26,35.96,0.991599083
2022-06-27,36.28,0.991599218
2022-06-28,34.8,0.991599165
2022-06-29,34.49,0.991599173
2022-06-30,33.94,0.991599124
2022-07-01,34.47,0.991599132
2022-07-02,33.21,0.991599132
2022-07-03,36.01,0.991599249
2022-07-04,34.88,0.991599215
2022-07-05,34.14,0.991599205
2022-07-06,34.04,0.991599213
2022-07-07,33.32,0.991599272
2022-07-08,33.87,0.991599376
2022-07-09,33.77,0.991599336
2022-07-10,33.26,0.991599281
2022-07-11,33.14,0.991599289
2022-07-12,34.79,0.991599478
2022-07-13,35.59,0.991599509
2022-07-14,34.25,0.991599494
2022-07-15,34.56,0.991599627
2022-07-16,33.75,0.991599552
2022-07-17,33.61,0.991599586
2022-07-18,34.94,0.991599648
2022-07-19,32.94,0.991599508
2022-07-20,33.83,0.99159964
2022-07-21,37.0,0.991599749
2022-07-22,35.12,0.991599784
2022-07-24,35.03,0.99160004
2022-07-25,37.02,0.991599964
2022-07-26,35.84,0.991599976
2022-08-01,34.69,0.99159999
2022-08-02,33.83,0.9916005
2022-08-03,35.42,0.99160069
2022-08-04,37.6,0.991600781
2022-08-05,35.33,0.991600679
2022-09-17,32.62,0.991601882
