"Time","CAL? 72 3458B","CAL? 175 3458B"
1648077898000,0.9869133,36.9475985
1648081504000,0.98691325,36.7356265
1648085109000,0.98691325,36.6596616
1648088715000,0.98691309,36.3980693
1648092320000,0.98691309,36.1557732
1648095925000,0.9869132,36.6771453
1648099530000,0.98691331,36.8984316
1648103135000,0.98691328,36.7805857
1648106740000,0.98691307,36.3502543
1648110345000,0.98691337,36.8756129
1648113950000,0.98691353,37.4068251
1648117555000,0.98691354,37.5141662
1648121160000,0.9869137,37.8776155
1648124765000,0.98691371,38.0067971
1648128370000,0.98691379,38.124499
1648131975000,0.98691383,38.3502811
1648135580000,0.98691402,38.6276444
1648139185000,0.98691396,undefined
1648139186000,undefined,38.5810296
1648142790000,0.98691396,undefined
1648142791000,undefined,38.5753977
1648146395000,0.98691374,undefined
1648146396000,undefined,37.9981668
1648150000000,0.98691384,undefined
1648150001000,undefined,38.2761966
1648153605000,0.98691379,undefined
1648153606000,undefined,38.2287523
1648157211000,0.98691382,38.1919026
1648160816000,0.98691369,37.9900618
1648164421000,0.98691364,37.6873339
1648168026000,0.98691341,37.2009316
1648171631000,0.98691344,37.1529705
1648175237000,0.98691349,37.3756748
1648178842000,0.98691347,37.3442225
1648182447000,0.98691344,37.3021216
1648186052000,0.98691343,37.2046822
1648189657000,0.98691345,37.1765345
1648193262000,0.98691334,37.0545625
1648196867000,0.98691341,37.127071
1648200472000,0.98691353,37.4627476
1648204077000,0.98691364,37.7928759
1648207682000,0.98691375,38.1170665
1648211287000,0.98691377,38.18627
1648214893000,0.98691389,38.3870633
1648218498000,0.98691396,38.6688499
1648222103000,0.98691385,38.2985617
1648225708000,0.98691376,38.1210431
1648229313000,0.98691391,38.3984736
1648232918000,0.98691393,38.4876483
1648236524000,0.98691378,38.0977029
1648240129000,0.98691374,37.9689655
1648243734000,0.98691375,undefined
1648243735000,undefined,38.1121064
1648247339000,0.98691369,undefined
1648247340000,undefined,38.1205897
1648250944000,0.98691367,undefined
1648250945000,undefined,37.9467477
1648254549000,0.98691357,undefined
1648254550000,undefined,37.6134728
1648258154000,0.98691345,undefined
1648258155000,undefined,37.2982896
1648261760000,0.98691333,37.0164971
1648265365000,0.98691326,36.7759345
1648268970000,0.98691321,36.5736385
1648272575000,0.9869131,36.366168
1648276180000,0.98691306,36.2423887
1648279785000,0.98691322,36.5533737
1648283390000,0.98691344,37.1591962
1648286995000,0.98691357,37.4507391
1648290600000,0.98691361,37.8203462
1648294205000,0.9869138,38.126074
1648297810000,0.98691389,38.4229405
1648301415000,0.98691388,38.5028165
1648305021000,0.98691394,38.5269835
1648308626000,0.98691382,38.3887166
1648312231000,0.98691366,37.7229105
1648315836000,0.98691376,38.0543172
1648319442000,0.9869139,38.3044996
1648323047000,0.98691383,38.1735174
1648326652000,0.98691369,37.8403072
1648330257000,0.98691366,37.8359585
1648333862000,0.98691363,37.7762072
1648337467000,0.98691363,37.6482278
1648341072000,0.98691353,37.5738359
1648344677000,0.9869135,undefined
1648344678000,undefined,37.3291381
1648348282000,0.98691338,undefined
1648348283000,undefined,37.0751255
1648351887000,0.98691333,undefined
1648351888000,undefined,36.8568495
1648355492000,0.9869132,undefined
1648355493000,undefined,36.6544077
1648359097000,0.98691313,undefined
1648359098000,undefined,36.4530136
1648362703000,0.98691314,36.2757912
1648366308000,0.98691326,36.6754941
1648369914000,0.9869134,37.0426311
1648373519000,0.98691343,37.2535498
1648377124000,0.98691354,37.4312252
1648380729000,0.98691355,37.6344921
1648384334000,0.98691363,37.7318471
1648387939000,0.9869137,37.9200287
1648391544000,0.9869137,37.9721223
1648395149000,0.98691358,37.6525054
1648398754000,0.98691358,37.6615145
1648402359000,0.98691357,37.5351086
1648405964000,0.98691356,37.5541724
1648409569000,0.98691367,37.8674807
1648413175000,0.98691363,37.8719854
1648416781000,0.9869136,37.748664
1648420386000,0.98691354,37.6555811
1648423991000,0.98691353,37.4952566
1648427596000,0.98691348,37.3522566
1648431202000,0.98691341,37.1619027
1648434807000,0.98691329,36.8751615
1648438412000,0.98691324,36.5869232
1648442017000,0.98691317,36.3760774
1648445622000,0.98691322,36.5180206
1648455126000,0.98691327,36.7748084
1648458740000,0.98691343,37.0255897
1648462345000,0.98691344,37.1370513
1648465950000,0.98691347,37.2949156
1648469556000,0.98691353,37.4863146
1648473161000,0.98691366,37.7969272
1648476766000,0.98691347,37.2919087
1648480371000,0.98691357,37.5465168
1648512255000,0.98691349,undefined
1648512256000,undefined,37.3909174
1648515861000,0.98691339,undefined
1648515862000,undefined,37.086832
1648519469000,0.98691321,36.7301365
1648523075000,0.98691314,36.4598418
1648526680000,0.986913,undefined
1648526681000,undefined,36.2781197
1648530286000,0.98691295,undefined
1648530287000,undefined,36.0527769
1648533892000,0.98691307,undefined
1648533893000,undefined,36.1806134
1648677812000,0.98691358,37.5339095
1648681418000,0.98691354,37.387838
1648685024000,0.98691357,undefined
1648685025000,undefined,37.4791105
1648688630000,0.98691348,undefined
1648688631000,undefined,37.2033291
1648692236000,0.98691338,undefined
1648692237000,undefined,36.8220232
1648695842000,0.98691321,undefined
1648695843000,undefined,36.4590171
1648699449000,0.98691312,36.2550049
1648703055000,0.98691306,36.124619
1648706661000,0.98691321,36.4080567
1648710267000,0.98691325,36.5310033
1648713873000,0.98691323,36.5392651
1648733008000,0.98691374,undefined
1648733009000,undefined,37.7715538
1648763561000,0.98691366,undefined
1648763562000,undefined,37.7585643
1648767168000,0.98691365,undefined
1648767169000,undefined,37.6062667
1648770774000,0.98691365,undefined
1648770775000,undefined,37.7183395
1648774382000,0.98691363,37.6424509
1648777988000,0.98691362,37.5524463
1648781594000,0.98691353,undefined
1648781595000,undefined,37.4195129
1648785201000,0.98691347,37.3296596
1648788807000,0.98691349,undefined
1648788808000,undefined,37.2774937
1648792412000,0.98691342,undefined
1648792413000,undefined,37.030469
1648796018000,0.98691338,36.8870226
1648799624000,0.98691349,37.2125713
1648811316000,0.98691347,undefined
1648811317000,undefined,37.1000491
1648814930000,0.98691349,37.2036381
1648818535000,0.98691355,37.3952721
1648822140000,0.98691327,undefined
1648822141000,undefined,36.8001012
1648825745000,0.98691331,undefined
1648825746000,undefined,36.7887681
1648829351000,0.98691332,undefined
1648829352000,undefined,36.872912
1648832958000,0.98691337,undefined
1648832959000,undefined,36.942494
1648836564000,0.98691349,37.1135611
1648840169000,0.98691343,37.0195059
1648843775000,0.98691354,37.2334361
1648847382000,0.98691348,37.2610578
1648850987000,0.98691338,36.9623087
1648857299000,0.98691342,undefined
1648857300000,undefined,37.0446568
1648860907000,0.98691336,36.9296544
1648864513000,0.98691332,36.8092602
1648868119000,0.98691331,36.6740747
1648871726000,0.98691324,undefined
1648871727000,undefined,36.6101948
1648875332000,0.98691322,undefined
1648875333000,undefined,36.5198154
1648878938000,0.9869132,undefined
1648878939000,undefined,36.4356045
1648882546000,0.98691309,36.2443382
1648941335000,0.9869132,36.435225
1648944934000,0.98691322,36.4268963
1648948540000,0.9869132,36.4943011
1648952146000,0.98691317,undefined
1648952147000,undefined,36.43597
1648955754000,0.98691315,36.3841849
1648959359000,0.98691316,undefined
1648959360000,undefined,36.321586
1648962965000,0.98691308,undefined
1648962966000,undefined,36.2797716
1648966572000,0.98691308,36.199382
1649027676000,0.9869135,37.3203589
1649031290000,0.9869136,37.4461628
1649034895000,0.98691354,37.349559
1649038500000,0.98691348,37.2246534
1649042105000,0.98691348,37.1466617
1649045711000,0.98691343,undefined
1649045712000,undefined,37.0459285
1649049318000,0.9869134,undefined
1649049319000,undefined,37.0384984
1649052924000,0.98691335,undefined
1649052925000,undefined,36.8859713
1649056530000,0.98691324,undefined
1649056531000,undefined,36.5496204
1649060136000,0.98691336,undefined
1649060137000,undefined,36.8871731
1649063743000,0.98691344,36.9781472
1649067348000,0.98691343,37.02551
1649070953000,0.9869135,37.277196
1649074559000,0.98691347,37.1008759
1649078165000,0.98691361,37.4249207
1649081770000,0.98691373,37.681858
1649085375000,0.98691377,37.7917452
1649113751000,0.9869137,37.6820116
1649117358000,0.98691353,37.3537634
1649120964000,0.98691349,37.0249888
1649124571000,0.98691335,36.7550688
1649128178000,0.98691329,36.5809955
1649131783000,0.98691324,36.3537098
1649135390000,0.98691316,36.1987104
1649201558000,0.98691389,38.1944594
1649205172000,0.98691379,37.8804751
1649208777000,0.9869137,37.6546137
1649212382000,0.98691363,37.4380561
1649215987000,0.98691355,37.2242071
1649219593000,0.98691347,37.0577904
1649223199000,0.98691344,36.9478272
1649226804000,0.98691348,37.1559707
1649230409000,0.98691361,37.5165675
1649289678000,0.98691389,undefined
1649289679000,undefined,38.2917338
1649293292000,0.98691386,38.0137097
1649296897000,0.98691377,37.7697543
1649300502000,0.98691368,undefined
1649300503000,undefined,37.5708441
1649304107000,0.98691366,undefined
1649304108000,undefined,37.4551712
1649307714000,0.98691361,undefined
1649307715000,undefined,37.3335687
1649364855000,0.98691402,38.4246771
1649368461000,0.98691402,38.3803125
1649372067000,0.98691386,38.1325334
1649375674000,0.9869138,37.8418142
1649379282000,0.98691369,37.5288089
1649382888000,0.98691353,37.197636
1649386494000,0.98691342,36.9134442
1649390100000,0.98691336,36.6817324
1649393705000,0.98691327,36.4533207
1649397311000,0.98691327,36.5172682
1649491975000,0.98691363,37.6495788
1649495578000,0.9869138,38.0880899
1649499188000,0.9869139,38.3703294
1649502782000,0.98691398,38.6258421
1649506385000,0.986914,38.7713079
1649509988000,0.98691395,38.6547393
1649513598000,0.98691395,38.6167571
1649517192000,0.98691356,37.5465188
1649520794000,0.9869138,38.1208926
1649524398000,0.98691389,38.3675492
1649528008000,0.98691394,38.4269236
1649531602000,0.98691381,38.2575032
1649535204000,0.98691376,38.1494173
1649538808000,0.98691381,38.1289328
1649542418000,0.98691379,38.0835138
1649546012000,0.98691367,37.9002813
1649549614000,0.98691364,37.7837162
1649553218000,0.98691355,37.6918318
1649556829000,0.98691362,37.6026614
1649560423000,0.98691353,37.5335327
1649564025000,0.98691353,37.4541859
1649567629000,0.98691348,37.3771817
1649571239000,0.98691346,37.2834207
1649574831000,0.98691327,36.6887092
1649579949000,0.98691356,37.5390114
1649583552000,0.98691367,37.8417387
1649587162000,0.98691378,38.0729323
1649590756000,0.98691374,38.1178932
1649594359000,0.98691374,38.1069308
1649597962000,0.9869139,38.3626687
1649601572000,0.9869139,38.4736856
1649605166000,0.9869139,38.4974836
1649608769000,0.98691386,38.4101072
1649612372000,0.9869138,38.2058604
1649615982000,0.98691379,38.1961041
1649619576000,0.98691378,38.1103887
1649623178000,0.98691381,38.2055635
1649626782000,0.98691386,38.273871
1649630392000,0.98691379,38.1857507
1649633986000,0.98691369,37.8770897
1649637588000,0.98691367,37.9209232
1649641192000,0.98691366,37.8935283
1649644802000,0.9869137,37.8522426
1649648396000,0.98691362,37.8240991
1649651998000,0.98691359,37.6534779
1649655602000,0.98691352,37.4705576
1649659212000,0.98691349,37.3213325
1649662804000,0.98691359,37.6750963
1649666404000,0.98691356,37.7214126
1649671956000,0.98691369,37.9406659
1649675559000,0.98691381,38.2640343
1649679169000,0.9869138,38.2879031
1649682763000,0.98691386,38.3622883
1649686366000,0.98691391,38.5343337
1649689969000,0.98691399,38.6523309
1649693579000,0.98691396,38.6129987
1649697173000,0.98691395,38.565188
1649700776000,0.98691392,38.4898264
1649704379000,0.98691372,37.9602577
1649707989000,0.98691386,38.355989
1649711583000,0.98691396,38.5636148
1649715185000,0.98691391,38.3679273
1649718789000,0.98691378,38.0807335
1649722399000,0.98691362,37.7070023
1649725993000,0.98691352,37.3667474
1649729595000,0.98691338,37.090362
1649733199000,0.98691338,36.9937641
1649736809000,0.98691343,37.1525948
1649740403000,0.98691346,37.212197
1649744005000,0.98691351,37.3480571
1649747609000,0.98691364,37.6642917
1649751219000,0.98691377,37.9625141
1649758642000,0.98691381,38.2626135
1649762245000,0.98691393,38.4603982
1649765855000,0.98691394,38.491552
1649769449000,0.98691396,38.6750786
1649773052000,0.986914,38.7403078
1649776655000,0.98691403,38.6843886
1649780265000,0.98691396,38.6625389
1649783859000,0.98691403,38.7141871
1649787461000,0.98691389,38.4580675
1649791065000,0.98691372,37.9749725
1649794675000,0.9869138,38.0791621
1649798269000,0.98691377,38.0368281
1649801871000,0.98691375,37.9821794
1649805475000,0.98691374,37.9651323
1649809085000,0.98691371,37.8047317
1649812679000,0.98691358,37.5651373
1649816281000,0.98691352,37.362246
1649819885000,0.98691345,37.1859224
1649823495000,0.98691335,36.9961635
1649827089000,0.9869133,36.7983011
1649830691000,0.98691346,37.0886416
1649834295000,0.9869136,37.4561464
1649837905000,0.98691356,37.4546458
1649841497000,0.98691354,37.5257266
1649845097000,0.98691356,37.6413909
1649850078000,0.98691381,38.1329072
1649853681000,0.98691392,38.5369605
1649857291000,0.98691412,38.9066473
1649860885000,0.98691421,39.1389645
1649876943000,0.98691419,39.2131302
1649888600000,0.98691421,undefined
1649888601000,undefined,39.2117012
1649892203000,0.98691422,39.3032774
1649895813000,0.98691418,39.2127531
1649899407000,0.98691417,39.1135201
1649903010000,0.98691411,39.0294489
1649906613000,0.98691406,38.9085196
1649910223000,0.986914,38.770861
1649913817000,0.98691401,38.6543677
1649917419000,0.98691377,38.1738107
1649921023000,0.98691387,38.2873858
1649924633000,0.9869139,38.3460067
1649928227000,0.98691394,38.5055144
1649931829000,0.98691393,38.5051431
1649935433000,0.98691394,38.4781884
1649939043000,0.986914,38.6148055
1649942637000,0.98691411,38.8898379
1649946239000,0.9869141,undefined
1649946240000,undefined,39.0319248
1649949843000,0.98691412,39.0084313
1649953454000,0.98691415,38.9995725
1649957048000,0.98691412,38.987409
1649960650000,0.98691419,39.1812218
1649964254000,0.98691404,38.8973377
1649967864000,0.98691387,38.4868976
1649971456000,0.98691401,38.5608371
1649976799000,0.98691393,undefined
1649976800000,undefined,38.4442659
1649980403000,0.98691384,38.2394924
1649984013000,0.98691375,38.0103326
1649987607000,0.98691371,37.8379861
1649991210000,0.98691354,37.6513051
1649994813000,0.98691351,37.4571968
1649998423000,0.9869134,37.2678878
1650020687000,0.98691379,38.1658538
1650024289000,0.9869137,38.0998776
1650063777000,0.98691365,37.709477
1650067379000,0.98691352,37.4619243
1650070973000,0.9869134,37.1763107
1650074584000,0.98691331,36.8780859
1650078187000,0.98691318,36.6017103
1650081780000,0.98691307,36.338016
1650085383000,0.98691308,36.3126448
1650088994000,0.98691308,36.2472692
1650092597000,0.98691328,36.689161
1650096190000,0.98691326,36.8463382
1650099793000,0.98691348,37.2391374
1650547772000,0.98691371,37.7745532
1650607206000,0.98691329,36.70192
1650610810000,0.98691347,37.1009545
1650614420000,0.98691365,37.6169306
1650618014000,0.9869137,37.8352829
1650621616000,0.98691381,38.1613498
1650625220000,0.98691384,undefined
1650625221000,undefined,38.2042887
1650628830000,0.98691382,38.1112156
1650632424000,0.98691383,38.1581983
1650636026000,0.98691377,37.9369236
1650639630000,0.98691375,37.8593043
1650643240000,0.98691371,37.9071217
1650646834000,0.98691383,38.0743595
1650650436000,0.98691385,38.0688072
1650820241000,0.98691374,38.1342561
1650823844000,0.98691376,38.0359258
1650925685000,0.98691357,37.5327102
1650929288000,0.98691351,37.4082573
1650932898000,0.98691349,37.358039
1650936492000,0.98691349,37.2287839
1650940095000,0.98691342,37.0442081
1650943698000,0.98691329,36.8076831
1650947308000,0.98691324,undefined
1650947309000,undefined,36.5508974
1650950902000,0.98691325,36.5848995
1650954505000,0.98691342,undefined
1650954506000,undefined,37.0571126
1650958108000,0.98691358,undefined
1650958109000,undefined,37.5121434
1650961719000,0.98691368,37.8866263
