Time,CAL? 175,CAL? 72
2021-12-16,34.63,0.986912769
2021-12-17,34.55,0.986912744
2021-12-18,34.28,0.986912609
2021-12-19,34.34,0.986912616
2021-12-20,34.13,0.986912526
2021-12-21,33.36,0.986912236
2021-12-22,33.39,0.986912271
2022-03-24,37.67,0.986913601
2022-03-25,37.8,0.98691365
2022-03-26,37.64,0.986913579
2022-03-27,37.32,0.986913456
2022-03-28,37.15,0.98691342
2022-03-29,36.66,0.986913179
2022-03-31,37.03,0.986913425
2022-04-01,37.23,0.986913469
2022-04-02,36.69,0.986913278
2022-04-03,36.38,0.986913152
2022-04-04,37.13,0.98691346
2022-04-05,36.85,0.986913394
2022-04-06,37.45,0.986913618
2022-04-07,37.8,0.986913779
2022-04-08,37.16,0.986913525
2022-04-09,38.27,0.986913841
2022-04-10,37.91,0.986913693
2022-04-11,38.09,0.986913753
2022-04-12,38.01,0.98691375
2022-04-13,37.82,0.986913687
2022-04-14,38.82,0.986914051
2022-04-15,37.97,0.98691371
2022-04-16,36.86,0.986913301
2022-04-21,37.77,0.98691371
2022-04-22,37.85,0.986913726
2022-04-24,38.09,0.98691375
2022-04-26,37.72,0.986913648
2022-04-27,37.98,0.986913699
2022-04-28,37.45,0.986913515
2022-04-30,37.96,0.98691375
2022-05-01,37.86,0.986913695
2022-05-02,38.34,0.986913856
2022-05-03,38.92,0.986914097
2022-05-04,38.55,0.986913937
2022-05-05,38.76,0.986914029
2022-05-06,35.31,0.986912647
2022-05-07,35.62,0.986912799
2022-05-08,35.23,0.986912653
2022-05-09,35.68,0.986912852
2022-05-10,36.49,0.986913177
2022-05-11,36.59,0.986913214
2022-05-12,37.02,0.986913359
2022-05-13,34.69,0.986912541
2022-05-17,38.65,0.986913859
2022-05-18,38.35,0.986913778
2022-05-20,38.11,0.986913664
2022-05-21,37.2,0.986913304
2022-05-22,36.6,0.986913085
2022-05-23,37.21,0.986913292
2022-05-24,37.41,0.986913373
2022-05-25,36.65,0.986913092
2022-05-26,36.54,0.986913045
2022-05-27,36.39,0.986913036
2022-05-28,35.64,0.986912774
2022-05-29,34.89,0.986912512
2022-05-30,34.7,0.98691245
2022-05-31,34.79,0.986912454
2022-06-01,35.0,0.986912492
2022-06-02,37.06,0.98691327
2022-06-07,36.57,0.986913046
2022-06-08,36.55,0.98691302
2022-06-09,36.76,0.986913116
2022-06-10,37.0,0.986912953
2022-06-12,37.81,0.986913499
2022-06-13,36.05,0.986912887
2022-06-14,36.3,0.986912953
2022-06-15,36.53,0.98691307
2022-06-16,37.12,0.986913255
2022-06-17,37.04,0.986913175
